passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount
Joe Curtis,15.05,2017-03-28 17:51:34,Card,1,2.42,11.5,2.7,0.0
Ralph Sampson,15.483333333333333,2017-12-22 00:07:56,Cash,5,2.68,12.5,1.5,0.0
Antonio Clay,14.833333333333334,2017-08-07 15:52:57,Card,1,1.62,10.5,0.0,0.0
Vincent Morgan,7.666666666666667,2017-04-09 00:04:06,Card,1,1.72,8.0,1.86,0.0
Felicia Torres,8.116666666666667,2017-01-26 21:38:38,Card,1,1.51,7.5,1.0,0.0
Tracy Carr,4.883333333333334,2017-09-10 12:38:24,Card,1,0.4,5.0,1.45,0.0
Joshua Francis,4.733333333333333,2017-06-15 16:12:26,Card,1,0.9,5.5,1.45,0.0
Cody Ramirez,17.366666666666667,2017-04-27 22:59:25,Cash,5,1.7,11.5,0.0,0.0
Ryan Vargas,20.666666666666668,2017-07-28 21:52:00,Card,1,1.85,13.5,2.22,0.0
Pamela Jackson,12.05,2017-08-09 17:43:29,Card,1,1.8,9.5,2.25,0.0
Lori Warren,15.966666666666667,2017-12-14 14:40:16,Cash,1,2.0,11.5,1.85,0.0
Nathan Gonzalez,13.883333333333333,2017-07-06 06:53:30,Cash,1,3.16,12.5,2.66,0.0
Jessica Davis,8.633333333333333,2017-10-03 13:59:55,Cash,1,0.9,7.0,0.0,0.0
Dr. Valerie Cruz,15.35,2017-07-05 19:03:26,Cash,1,1.07,10.5,2.46,0.0
Dr. Wanda Jones,7.7,2017-10-21 16:20:51,Card,2,0.9,6.5,0.0,0.0
Stephanie Marshall,12.783333333333333,2017-07-19 14:57:29,Card,1,1.29,9.5,0.0,0.0
Gregory Jackson,5.716666666666667,2017-10-05 22:41:13,Cash,6,0.55,5.5,0.0,0.0
Lisa Powers,8.9,2017-02-04 18:30:52,Card,3,0.83,7.0,1.56,0.0
David Hall,7.533333333333333,2017-04-24 06:13:36,Cash,1,1.98,8.5,0.0,0.0
Colin Mclaughlin,10.233333333333333,2017-10-21 21:37:08,Card,1,1.11,8.0,1.86,0.0
Gerald Cooper,21.2,2017-04-05 14:54:46,Card,1,2.5,14.5,2.0,0.0
Phillip Short,15.45,2017-10-04 18:01:17,Card,1,0.91,10.0,1.0,0.0
Carlos Hart,11.35,2017-08-18 21:45:25,Card,1,2.1,9.5,2.16,0.0
Brittney Baker,8.516666666666667,2017-12-05 19:24:37,Cash,2,1.33,7.5,1.86,0.0
Gregory Kennedy,5.45,2017-12-10 21:35:49,Card,1,1.0,5.5,1.0,0.0
Tonya Johnson,21.566666666666666,2017-06-22 13:56:51,Card,3,1.75,13.5,0.0,0.0
Brandy Roberts,4.283333333333333,2017-02-25 12:49:17,Cash,2,1.14,5.5,1.26,0.0
Ariel Marshall,29.966666666666665,2017-12-29 19:54:29,Cash,1,5.0,21.5,0.0,5.76
Stephen Hernandez,6.383333333333334,2017-07-27 14:03:35,Cash,1,1.2,6.5,1.46,0.0
Heather Turner,4.016666666666667,2017-11-18 16:47:39,Cash,2,0.1,4.5,0.0,0.0
Gregory Marshall,4.083333333333333,2017-03-09 19:07:48,Cash,1,1.0,5.5,1.45,0.0
Pam Vasquez,9.816666666666666,2017-09-23 20:49:16,Card,1,1.62,8.5,1.96,0.0
Sarah Petersen,12.933333333333334,2017-05-05 03:25:11,Cash,1,3.6,13.0,1.0,0.0
Wesley Ballard,5.9,2017-03-21 08:54:19,Card,5,1.08,6.0,0.0,0.0
Derek Mays,12.216666666666667,2017-08-28 07:02:02,Cash,2,2.4,11.0,1.18,0.0
Laura Contreras,20.933333333333334,2017-12-21 17:17:07,Cash,1,2.7,14.5,3.26,0.0
Patrick Brown,15.25,2017-04-17 08:23:47,Cash,1,1.32,11.0,1.2,0.0
Thomas Howell,13.366666666666667,2017-03-22 21:09:53,Card,1,3.3,12.5,2.0,0.0
Mariah Hunter,4.75,2017-10-18 21:09:40,Cash,1,1.5,6.5,1.55,0.0
Lee Jenkins,21.283333333333335,2017-05-10 09:01:42,Cash,1,2.63,14.5,1.5,0.0
Lauren Meza,5.266666666666667,2017-07-27 10:28:01,Cash,1,0.67,5.5,1.0,0.0
Martin Hernandez DDS,13.966666666666667,2017-11-16 22:03:27,Card,2,0.99,10.0,2.26,0.0
Jennifer Medina,3.0,2017-11-25 16:12:55,Card,1,0.8,5.0,1.7,0.0
David Stone,20.333333333333332,2017-06-07 22:47:26,Card,1,3.92,17.0,3.66,0.0
Katie Caldwell,15.683333333333334,2017-05-02 11:46:42,Cash,1,2.0,11.5,2.45,0.0
Andrew Silva,22.666666666666668,2017-03-22 14:04:55,Cash,1,2.27,15.0,3.16,0.0
David Arroyo,24.0,2017-04-15 18:01:14,Cash,1,4.87,19.5,2.0,0.0
Dr. Michelle Ball PhD,2.6333333333333333,2017-05-08 21:05:05,Cash,1,0.38,4.0,0.0,0.0
Mark Li,8.433333333333334,2017-03-08 13:36:42,Cash,1,0.31,6.5,0.0,0.0
Karen Frye,10.4,2017-12-06 12:17:46,Card,1,1.18,8.0,1.0,0.0
David Ewing,4.383333333333334,2017-08-20 13:36:14,Cash,2,0.78,5.0,0.0,0.0
Michael Newton,6.883333333333334,2017-06-10 14:57:38,Card,1,0.4,6.0,0.0,0.0
Angelica Foster,9.633333333333333,2017-09-28 14:45:46,Cash,1,1.16,7.5,1.66,0.0
James Lang,3.4166666666666665,2017-06-13 21:26:07,Cash,1,0.5,4.5,0.0,0.0
Paula Little,21.883333333333333,2017-01-18 21:53:40,Card,5,4.4,18.0,3.0,0.0
Christopher Price,18.383333333333333,2017-09-25 18:45:40,Card,1,2.3,13.5,2.5,0.0
Joyce Mayo,25.45,2017-07-19 10:54:45,Cash,1,1.7,15.5,3.25,0.0
Donald Williams,16.65,2017-05-03 10:22:27,Card,1,5.5,19.0,3.95,0.0
Dawn Ritter,9.733333333333333,2017-05-19 12:24:47,Card,1,1.0,7.5,1.65,0.0
Nicolas Hernandez,6.283333333333333,2017-01-18 16:23:57,Card,2,0.73,6.0,1.56,0.0
Manuel Green,5.733333333333333,2017-10-27 21:36:08,Cash,1,1.07,6.0,1.0,0.0
Kathleen Elliott,0.0,2017-02-16 20:37:04,Card,1,0.0,9.5,0.0,0.0
Joe Reyes,10.816666666666666,2017-12-22 18:44:02,Cash,5,1.91,9.0,2.7,0.0
Molly Smith,13.65,2017-06-18 13:04:32,Card,1,3.64,14.0,2.96,0.0
Christopher Hanson,14.2,2017-02-06 18:00:31,Card,4,2.34,11.5,2.66,0.0
Kevin Cameron,5.916666666666667,2017-11-13 15:35:10,Cash,4,0.6,5.5,0.0,0.0
Teresa Reed,10.333333333333334,2017-12-09 13:55:18,Card,6,1.07,8.0,0.0,0.0
Brandy Finley,5.166666666666667,2017-10-31 21:48:12,Card,5,0.87,5.5,0.0,0.0
Amy Brown,7.566666666666666,2017-02-03 14:13:26,Cash,1,1.14,7.0,1.56,0.0
Yolanda Ferguson,6.716666666666667,2017-10-19 17:59:22,Card,1,1.0,6.5,1.65,0.0
Nicole Hayes,15.7,2017-05-25 08:59:31,Card,2,1.13,10.5,2.82,0.0
Carlos Newman,4.15,2017-12-23 11:07:39,Card,1,1.08,5.5,0.94,0.0
Alice Hernandez,5.866666666666666,2017-12-03 01:09:42,Cash,1,1.01,6.0,1.46,0.0
Matthew Lawson,9.133333333333333,2017-03-06 22:23:15,Cash,1,1.8,8.5,1.95,0.0
Joseph Harris,13.866666666666667,2017-08-01 22:28:17,Cash,1,2.0,10.0,2.25,0.0
Gregory Young,15.983333333333333,2017-01-03 12:53:26,Cash,1,2.03,9.0,0.0,0.0
Amanda Williams,7.533333333333333,2017-09-04 06:29:22,Cash,1,2.3,9.5,0.0,0.0
Robert Sutton,7.683333333333334,2017-05-25 05:50:39,Card,1,2.0,8.5,0.0,0.0
Shannon Castillo MD,18.716666666666665,2017-06-22 12:52:30,Card,1,1.12,12.0,0.0,0.0
Bailey Barron,6.3,2017-10-21 20:18:57,Cash,1,1.3,6.5,1.55,0.0
Stacy Duran,9.483333333333333,2017-03-06 08:57:55,Card,1,1.12,8.0,1.76,0.0
James Hernandez,18.016666666666666,2017-09-24 00:37:33,Card,1,2.69,14.0,1.53,0.0
Luis Stephens PhD,8.483333333333333,2017-11-03 21:42:00,Cash,1,1.3,7.5,1.0,0.0
Jamie Brown,8.516666666666667,2017-12-18 18:03:56,Cash,1,1.1,7.0,2.6,0.0
Robert Evans,23.066666666666666,2017-11-28 18:47:19,Card,1,1.15,14.0,0.0,0.0
Caitlin Murphy,3.25,2017-07-24 22:10:41,Card,1,0.4,4.0,1.33,0.0
David Deleon,24.6,2017-03-13 16:03:03,Card,1,3.04,16.5,3.46,0.0
Matthew Ruiz,14.05,2017-06-24 12:28:46,Cash,1,2.42,11.0,2.36,0.0
Travis Porter,2.8666666666666667,2017-10-03 14:14:27,Card,1,0.7,4.5,1.05,0.0
Charles Mathis,18.6,2017-03-07 16:05:21,Card,1,2.4,13.5,0.0,0.0
Lauren Anderson,7.983333333333333,2017-02-10 16:03:37,Card,1,1.06,7.0,0.0,0.0
Michael Adams,5.383333333333334,2017-03-26 21:43:47,Card,1,0.7,5.5,2.0,0.0
Jody Jackson,6.716666666666667,2017-05-08 23:18:23,Cash,1,1.3,7.0,0.0,0.0
Heather Erickson,2.0,2017-09-03 22:34:30,Card,1,0.74,4.0,0.0,0.0
Ryan Lang,6.916666666666667,2017-06-05 09:41:12,Card,1,0.8,6.0,1.35,0.0
Abigail Farrell,7.8,2017-03-25 13:18:38,Card,2,1.3,7.5,0.0,0.0
Jesse Ramos DVM,10.616666666666667,2017-09-05 20:14:49,Cash,1,1.58,9.0,1.5,0.0
Emma Mann,8.383333333333333,2017-03-18 22:57:48,Card,4,1.1,7.0,0.0,0.0
Perry Brown,9.9,2017-09-25 23:55:50,Cash,3,1.7,8.5,0.0,0.0
Tina Scott,10.05,2017-08-26 22:42:41,Card,1,1.47,8.0,1.2,0.0
Monica Davis,15.366666666666667,2017-10-15 21:38:23,Cash,2,3.5,14.0,0.0,0.0
Hunter Ellis,13.616666666666667,2017-07-16 21:45:37,Card,1,3.6,14.0,3.05,0.0
Robin Watson,10.933333333333334,2017-12-21 13:02:45,Card,1,1.3,9.0,1.95,0.0
Marie Lynch,10.166666666666666,2017-03-18 20:13:13,Cash,1,2.8,10.5,0.0,0.0
Michelle Thomas,2.533333333333333,2017-12-11 20:34:53,Card,1,0.2,3.5,0.0,0.0
Thomas Moore,38.65,2017-06-14 15:42:50,Cash,1,5.21,25.0,6.45,0.0
Brandon Mcguire,7.283333333333333,2017-11-27 15:25:33,Card,1,0.7,6.5,1.1,0.0
Kimberly Acosta,4.75,2017-12-06 15:22:55,Cash,1,0.43,5.0,1.74,0.0
Victoria Wallace,10.95,2017-04-25 16:14:08,Card,1,1.4,8.5,0.0,0.0
Jeffrey Murphy,13.9,2017-01-28 03:00:05,Card,1,3.7,13.5,2.95,0.0
Jason Gonzalez,7.083333333333333,2017-09-16 18:01:25,Card,2,0.8,6.0,0.0,0.0
Jeremy Williams,1.5333333333333334,2017-11-07 06:01:52,Card,2,0.43,3.5,0.0,0.0
Eric Morris,6.9,2017-07-28 19:00:18,Cash,1,0.91,6.5,2.08,0.0
Jean Alexander,6.65,2017-01-18 00:05:53,Cash,3,1.4,7.0,1.5,0.0
William Bryant,2.65,2017-10-18 20:23:43,Card,1,0.48,4.0,0.0,0.0
Brad Walsh,10.616666666666667,2017-01-06 12:59:16,Cash,1,1.51,8.5,2.79,0.0
Anthony Tran,3.2333333333333334,2017-02-05 11:34:06,Cash,5,0.46,4.0,0.96,0.0
Cathy Blake,2.95,2017-07-11 00:30:16,Card,1,0.53,4.0,1.06,0.0
Paul Coleman,11.75,2017-05-01 12:57:22,Cash,1,1.34,9.0,1.75,0.0
John Gentry,23.283333333333335,2017-08-14 16:24:15,Card,1,3.4,16.5,0.0,0.0
Elizabeth Foster,18.266666666666666,2017-03-31 11:30:03,Cash,1,1.6,12.5,3.99,0.0
Jeremy Snyder,11.85,2017-10-25 16:51:43,Card,2,0.87,8.5,0.0,0.0
Julie Gomez,3.75,2017-07-26 21:17:24,Cash,2,0.76,5.0,1.0,0.0
Cody Murphy,34.43333333333333,2017-03-22 09:50:17,Card,6,5.02,23.0,3.0,0.0
Robert Smith,13.033333333333333,2017-04-30 01:47:37,Cash,1,2.72,11.5,0.0,0.0
Erika Smith,8.433333333333334,2017-11-14 15:50:29,Card,1,1.1,7.0,0.0,0.0
William Nelson,10.966666666666667,2017-04-29 21:03:07,Card,3,1.39,9.0,0.0,0.0
Sheila Black,5.066666666666666,2017-10-03 13:40:49,Cash,3,0.67,5.5,0.0,0.0
Dominique Horne,3.85,2017-07-04 01:19:44,Card,2,1.02,5.0,1.26,0.0
Linda Myers,5.066666666666666,2017-06-15 17:32:27,Card,1,0.64,5.0,1.36,0.0
Matthew Stewart,5.483333333333333,2017-03-06 19:09:01,Card,1,0.8,5.5,1.25,0.0
Jennifer Cross,14.35,2017-12-13 13:20:59,Cash,1,1.7,10.5,0.0,0.0
Tracy Thompson,16.733333333333334,2017-06-21 20:36:02,Cash,1,0.6,11.0,0.0,0.0
Colleen Lee,11.55,2017-01-17 16:33:35,Cash,1,1.71,9.0,2.16,0.0
Patricia Wiggins,1.3166666666666667,2017-10-10 15:46:19,Cash,1,0.6,4.0,1.0,0.0
Tami Myers,4.3,2017-07-22 18:18:38,Card,1,0.9,5.5,1.0,0.0
Karen Hudson,4.25,2017-02-05 14:19:21,Card,1,0.8,5.0,0.0,0.0
Jason Gonzalez,7.15,2017-10-27 00:24:07,Card,2,1.32,7.0,1.66,0.0
Michael Hernandez,34.11666666666667,2017-09-02 16:37:33,Card,1,5.0,24.0,0.0,0.0
Margaret Miller,18.3,2017-05-16 12:44:12,Card,1,1.24,12.0,2.56,0.0
Melanie Henderson,8.433333333333334,2017-03-20 00:31:21,Cash,5,1.66,8.0,1.86,0.0
Angela Newman,4.966666666666667,2017-03-13 20:36:06,Card,1,0.76,5.5,0.0,0.0
Amy Brown,21.533333333333335,2017-08-13 12:59:38,Card,1,2.16,14.5,1.53,0.0
Dustin Chung,2.8833333333333333,2017-04-17 19:39:46,Cash,1,0.48,4.0,0.0,0.0
Sara Griffith,19.466666666666665,2017-02-07 09:10:19,Cash,1,2.11,13.5,2.86,0.0
Jason Mcclain,15.083333333333334,2017-11-07 07:32:57,Card,5,2.17,11.5,2.46,0.0
Don Carter,11.85,2017-12-01 13:35:18,Cash,5,1.46,9.0,0.98,0.0
Rachel Brooks,11.683333333333334,2017-08-16 17:17:28,Card,1,2.2,10.0,0.0,0.0
Sarah Haynes,6.066666666666666,2017-07-27 12:05:18,Cash,1,0.6,5.5,0.95,0.0
Ryan Scott,3.95,2017-02-01 14:19:15,Cash,1,0.64,4.5,1.0,0.0
Anna Stanley,24.216666666666665,2017-01-05 21:35:36,Card,1,6.1,22.5,2.5,0.0
Stephanie Long,8.983333333333333,2017-11-15 20:03:55,Card,5,1.39,8.0,0.0,0.0
Christopher Smith,14.283333333333333,2017-10-18 20:05:07,Cash,1,1.5,10.0,1.0,0.0
Zachary Shaffer,26.8,2017-11-15 09:48:56,Cash,1,1.9,16.5,3.45,0.0
Cynthia Harris,8.05,2017-11-14 08:56:01,Card,1,1.18,7.0,1.56,0.0
Rebecca Johnston,7.483333333333333,2017-12-29 10:15:03,Cash,2,1.36,7.0,0.0,0.0
Norman Wright,9.966666666666667,2017-02-08 23:10:38,Card,4,2.26,9.5,0.0,0.0
Jennifer Martin,10.733333333333333,2017-01-29 23:15:32,Card,1,3.4,12.5,3.85,5.54
Mr. Patrick Gomez,10.633333333333333,2017-01-19 22:43:20,Card,1,1.58,9.0,2.58,0.0
Jeffrey Jackson,5.283333333333333,2017-12-06 00:39:52,Card,1,0.99,6.0,0.0,0.0
Christina Hampton,6.133333333333334,2017-07-05 14:09:09,Card,6,0.54,5.5,1.58,0.0
Ricky Hudson,7.166666666666667,2017-09-18 23:02:28,Card,2,1.57,7.0,2.0,0.0
Heather Gillespie,9.033333333333333,2017-12-10 12:53:25,Card,1,2.2,9.5,1.0,0.0
Ms. Heidi Miranda,4.95,2017-03-03 13:12:14,Cash,1,0.53,5.0,0.0,0.0
Nicole Haney,17.183333333333334,2017-06-14 10:02:05,Cash,6,1.52,11.5,2.46,0.0
Heather Garcia,13.366666666666667,2017-02-14 09:21:06,Card,1,1.75,10.0,1.2,0.0
Danielle Mckinney,24.5,2017-03-17 20:31:21,Card,1,4.4,18.5,0.0,0.0
Matthew Snyder,11.483333333333333,2017-09-03 01:27:13,Card,1,2.7,11.5,2.55,0.0
Margaret Brown,3.2,2017-01-29 00:43:02,Cash,1,1.22,5.5,0.0,0.0
Isaac Porter,7.183333333333334,2017-10-20 19:47:26,Card,1,0.8,6.0,0.0,0.0
Jordan Knapp,17.016666666666666,2017-03-07 19:14:06,Card,1,5.67,18.5,4.06,0.0
Bryan Wilkins,28.316666666666666,2017-08-10 12:48:04,Cash,1,4.0,21.5,5.55,0.0
Debra Doyle,16.3,2017-10-25 16:15:58,Card,1,1.6,11.0,0.0,0.0
Mr. John Fowler II,14.6,2017-10-25 16:14:30,Card,1,1.95,11.0,2.36,0.0
Martha Roy,6.0,2017-09-01 00:31:33,Cash,3,1.58,7.0,0.0,0.0
Sandra Brown,7.883333333333334,2017-06-09 10:19:50,Card,1,1.0,7.0,1.56,0.0
Alexandria Martinez,13.283333333333333,2017-01-20 18:56:04,Card,1,1.52,9.5,2.26,0.0
Heidi Dean,17.433333333333334,2017-11-14 19:01:36,Card,1,2.7,13.5,1.45,0.0
Sandra Gallagher,6.383333333333334,2017-07-20 23:30:28,Cash,1,1.1,6.5,1.5,0.0
Daniel Hester,6.633333333333334,2017-02-05 11:05:05,Card,1,1.3,7.0,0.0,0.0
Jonathon Schneider,13.15,2017-08-26 03:36:59,Cash,3,3.92,14.5,0.0,0.0
James Smith,7.333333333333333,2017-10-26 22:22:53,Card,1,1.3,7.5,1.0,0.0
Jeremy Singh,7.95,2017-07-06 02:14:07,Card,1,3.1,10.5,2.95,0.0
William Johnson,5.05,2017-07-15 23:53:32,Cash,1,0.73,5.0,1.58,0.0
Leah Smith,8.066666666666666,2017-07-08 11:05:28,Card,1,1.5,8.0,1.75,0.0
Jason Welch,13.633333333333333,2017-06-16 14:05:57,Cash,1,1.97,11.0,0.0,0.0
Courtney Perez,5.266666666666667,2017-04-11 07:15:40,Cash,1,1.0,5.5,0.0,0.0
Nathan James,6.7,2017-04-18 10:40:31,Card,1,0.8,6.0,1.35,0.0
Stephen Dunn,15.883333333333333,2017-05-09 15:16:17,Cash,1,1.61,11.0,0.0,0.0
Christopher Weaver,4.75,2017-03-10 19:31:59,Cash,5,1.06,5.5,2.0,0.0
Andrea Sanchez,8.6,2017-08-28 15:41:01,Cash,5,1.56,8.0,1.76,0.0
Karen Campbell,8.8,2017-10-21 01:59:59,Cash,2,1.78,8.5,0.0,0.0
Debra Carrillo,20.366666666666667,2017-05-17 10:00:10,Card,1,4.4,17.5,0.0,0.0
Ellen Meadows,10.6,2017-06-24 19:11:53,Card,6,0.43,7.5,0.0,0.0
Wesley Schultz,7.45,2017-04-06 13:11:11,Cash,1,0.9,6.5,2.19,0.0
Dominique Smith,11.15,2017-05-11 09:54:12,Card,1,1.58,9.0,2.45,0.0
Jason Lyons,24.3,2017-12-26 18:03:14,Card,1,1.24,15.0,0.0,0.0
Kevin Soto,5.65,2017-04-11 14:55:03,Card,1,0.55,5.5,0.0,0.0
Jason Ruiz,1.0833333333333333,2017-01-28 12:31:38,Cash,1,1.3,3.0,0.0,0.0
Laura Myers,30.05,2017-11-27 07:59:16,Card,6,6.12,25.0,2.0,0.0
Rachel King,29.866666666666667,2017-06-27 11:18:01,Card,1,3.0,19.0,3.95,0.0
Yolanda Johnson,13.183333333333334,2017-10-04 15:20:00,Cash,1,1.42,9.5,0.0,0.0
Tanner Richardson,7.466666666666667,2017-10-05 08:41:36,Card,1,0.9,6.5,1.7,0.0
Diana Holland,3.15,2017-12-23 18:14:18,Card,2,0.3,4.0,0.0,0.0
Susan Hill,3.05,2017-03-26 14:48:56,Card,1,0.5,4.5,0.0,0.0
Sydney Long,1.2,2017-05-22 07:21:53,Card,1,0.43,3.5,0.0,0.0
James Ruiz,7.283333333333333,2017-03-26 01:33:19,Cash,1,1.5,7.5,0.0,0.0
Julie James,6.516666666666667,2017-02-02 16:28:00,Card,1,1.2,6.5,1.66,0.0
Russell Hawkins MD,19.95,2017-06-18 16:03:50,Cash,1,6.0,20.5,4.25,0.0
Timothy Cardenas,7.616666666666666,2017-02-19 11:00:57,Card,1,1.0,6.5,1.45,0.0
Jacqueline Carney,1.4666666666666666,2017-03-23 21:34:58,Card,1,0.2,3.0,0.0,0.0
Johnny Stokes,8.25,2017-04-21 06:36:40,Cash,1,1.52,8.0,0.0,0.0
Abigail Weaver,8.333333333333334,2017-03-27 15:44:34,Card,1,1.5,7.5,0.0,0.0
Sarah Butler,9.15,2017-08-04 01:40:11,Cash,1,2.43,9.5,0.0,0.0
Vanessa Mendez,25.2,2017-08-17 10:33:18,Cash,1,3.65,18.5,3.86,0.0
Nathan Blair,19.183333333333334,2017-07-17 11:58:09,Card,1,2.9,14.0,0.0,0.0
Tracy Riley,14.95,2017-10-30 06:43:00,Card,1,4.1,15.0,3.15,0.0
Craig Luna,9.283333333333333,2017-07-21 03:48:56,Card,1,2.46,10.0,0.0,0.0
Dustin Kaiser,2.8666666666666667,2017-02-16 22:47:51,Card,4,0.3,4.0,0.0,0.0
Edward Bennett,11.816666666666666,2017-03-25 14:23:21,Cash,1,1.9,9.5,0.0,0.0
Luke Lucero,11.866666666666667,2017-12-09 20:30:29,Card,1,1.2,9.0,5.0,0.0
Andrew Freeman,15.466666666666667,2017-10-03 16:10:13,Cash,2,1.6,11.0,0.0,0.0
Anthony Johnson,13.033333333333333,2017-01-31 14:39:22,Cash,1,1.1,9.5,2.05,0.0
Thomas Jones,27.116666666666667,2017-02-17 19:33:55,Card,1,3.82,18.5,4.0,0.0
Mrs. Sheena George,10.933333333333334,2017-12-09 23:25:57,Cash,1,1.53,9.0,0.0,0.0
Brenda Hebert,5.783333333333333,2017-06-18 13:51:19,Cash,1,0.8,5.5,0.0,0.0
Mr. Michael Knapp Jr.,15.6,2017-04-11 18:00:32,Cash,1,0.96,10.0,2.36,0.0
Amber Gonzalez,25.633333333333333,2017-04-28 12:11:02,Cash,2,2.6,16.5,3.45,0.0
Steven Morgan,23.7,2017-04-24 18:38:34,Cash,2,3.26,17.0,0.2,0.0
Shawn Branch,1.9,2017-04-29 15:17:45,Card,1,0.3,3.5,1.05,0.0
Vicki Rodriguez,2.0,2017-01-20 09:16:23,Cash,1,0.31,3.5,0.86,0.0
Debbie Schmitt,7.8,2017-07-12 17:52:44,Cash,1,1.64,8.0,2.45,0.0
Joshua Deleon,15.55,2017-08-27 20:29:25,Card,1,3.2,13.5,2.95,0.0
John Caldwell,6.716666666666667,2017-08-15 12:07:13,Card,6,1.02,6.5,0.0,0.0
Pam Kennedy,7.466666666666667,2017-10-18 14:42:39,Card,1,1.4,7.0,1.55,0.0
Robert Benjamin,6.333333333333333,2017-08-03 08:09:35,Cash,1,1.28,6.5,0.0,0.0
Charlene Hester,6.183333333333334,2017-08-22 13:29:28,Card,1,1.04,6.0,1.36,0.0
Michelle Winters,22.2,2017-08-09 23:39:38,Cash,1,3.52,15.5,5.04,0.0
Eric Moore,18.25,2017-07-06 19:53:28,Card,1,2.66,14.0,3.16,0.0
Michael Smith,15.8,2017-02-15 06:58:13,Card,1,3.4,13.5,0.0,0.0
Molly Pace,15.516666666666667,2017-01-16 12:20:28,Card,1,6.1,19.5,4.05,0.0
Adam Perez,6.4,2017-01-19 00:43:19,Cash,1,1.6,7.5,1.75,0.0
Rebecca Lopez,11.916666666666666,2017-07-23 16:20:22,Card,3,1.0,9.0,1.8,0.0
Tiffany Hopkins,7.533333333333333,2017-11-03 23:14:34,Cash,1,0.7,6.5,0.0,0.0
Suzanne Briggs,7.233333333333333,2017-04-05 21:45:31,Card,1,1.38,7.0,0.0,0.0
Angela Singleton,8.1,2017-01-11 09:53:20,Cash,2,1.11,7.0,0.0,0.0
Timothy Johnson,19.383333333333333,2017-06-10 18:24:02,Card,3,1.6,13.0,0.0,0.0
Amanda Farrell,40.43333333333333,2017-11-03 11:51:09,Cash,1,4.2,25.0,5.16,0.0
Lisa Alexander,18.75,2017-09-11 09:43:30,Cash,1,1.91,13.0,0.0,0.0
Lee Johnson,33.4,2017-01-18 16:32:45,Card,1,5.45,22.0,1.0,5.54
Elizabeth Odonnell,9.566666666666666,2017-05-04 10:02:22,Card,1,2.66,10.0,1.0,0.0
Randy Jones,14.266666666666667,2017-07-20 13:06:13,Cash,5,1.5,10.0,2.16,0.0
Kevin Morales,14.85,2017-02-15 17:03:31,Cash,1,1.67,10.5,3.08,0.0
Andrew Thomas,9.4,2017-03-29 12:34:40,Cash,5,1.11,7.5,0.0,0.0
Stephanie Randall DDS,14.033333333333333,2017-04-09 12:05:46,Cash,1,1.41,10.0,0.0,0.0
Dustin Nelson,14.633333333333333,2017-05-23 19:28:58,Card,1,1.98,11.0,0.0,0.0
Tina Davis,9.016666666666667,2017-02-23 21:07:40,Card,1,1.3,7.5,0.0,0.0
Dr. George Watson PhD,5.383333333333334,2017-12-06 02:15:37,Cash,1,1.1,6.0,1.0,0.0
Molly Baker,11.083333333333334,2017-04-17 08:51:06,Cash,1,1.06,8.5,0.93,0.0
Sean Cummings,9.333333333333334,2017-04-23 13:04:23,Cash,1,1.43,8.0,0.0,0.0
Mr. Michael Jensen,4.716666666666667,2017-03-26 10:41:26,Card,4,0.9,5.5,1.85,0.0
Rose Brown,5.3,2017-03-22 01:44:53,Cash,2,1.49,6.5,0.0,0.0
Ethan Garcia,18.283333333333335,2017-03-13 19:46:47,Card,1,4.42,16.0,0.0,0.0
Shane Caldwell,17.733333333333334,2017-01-07 15:22:56,Cash,1,1.78,12.0,0.0,0.0
Michelle Graves,16.0,2017-08-08 13:36:12,Cash,1,1.62,11.0,0.0,0.0
Jamie Rogers,12.566666666666666,2017-05-25 18:33:40,Card,1,2.17,10.5,1.5,0.0
Daisy Lewis,9.066666666666666,2017-10-23 19:07:22,Cash,1,2.1,8.5,2.05,0.0
Frank Newman,15.0,2017-06-17 18:58:32,Card,1,1.07,10.0,0.0,0.0
Sheryl Gibson,27.65,2017-05-24 11:12:43,Cash,1,2.1,17.0,0.0,0.0
Andrew Edwards,12.183333333333334,2017-05-22 18:09:38,Cash,2,1.0,8.5,0.0,0.0
Jason Brewer,19.866666666666667,2017-09-26 15:15:19,Card,1,3.1,15.0,3.15,0.0
Patricia Lane,8.95,2017-10-29 15:48:07,Card,1,1.2,7.5,0.0,0.0
Ryan Brown,12.066666666666666,2017-11-10 10:04:32,Cash,1,0.8,8.5,1.85,0.0
Raymond Thompson,5.633333333333334,2017-03-26 06:07:17,Card,1,1.42,6.5,0.0,0.0
Peggy Jones,8.016666666666667,2017-03-30 18:36:15,Card,1,1.1,7.0,0.0,0.0
Michelle Gray,5.466666666666667,2017-07-22 10:53:03,Cash,1,1.06,6.5,2.19,0.0
Shirley Sandoval,10.766666666666667,2017-06-27 06:38:24,Cash,1,1.4,8.5,1.5,0.0
Shannon Burton,26.8,2017-04-03 19:24:03,Card,1,4.3,18.5,4.05,0.0
Cody Smith,21.266666666666666,2017-03-30 19:08:14,Cash,3,2.7,14.5,0.0,0.0
Jeffrey Mayo,7.766666666666667,2017-11-09 21:13:59,Cash,1,1.1,7.0,1.65,0.0
Claudia Miles,22.683333333333334,2017-06-01 09:06:41,Card,1,5.78,21.5,4.46,0.0
